得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先SSコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,0,20250509,5501,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,136,91.3,12417,1242,4366,889,9
104,23991,0,20250512,5501,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,103,91.3,9404,940,3306,7072,2
104,23991,0,20250519,5501,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,125,91.3,11413,1141,4013,9196,6
104,23991,0,20250525,5501,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,131,91.3,11960,1196,4205,961,1
104,23991,0,20250502,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,128,91.3,11686,1169,4109,4562,2
104,23991,0,20250504,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126,91.3,11504,1150,4045,5025,5
104,23991,0,20250508,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,133,91.3,12143,1214,4269,5926,6
104,23991,0,20250510,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,123,91.3,11230,1123,3948,6578,8
104,23991,0,20250514,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,134,91.3,12234,1223,4301,7682,2
104,23991,0,20250516,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,127,91.3,11595,1160,4077,8448,8
104,23991,0,20250520,6005,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,125,91.3,11413,1141,4013,5314,4
104,23991,0,20250522,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,134,91.3,12234,1223,4301,239,9
104,23991,0,20250525,6005,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,117,91.3,10682,1068,3756,6523,3
104,23991,0,20250530,6005,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,140,91.3,12782,1278,4494,2686,6
104,23991,0,20250504,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,250,91.3,22825,2283,8025,9307,7
104,23991,0,20250517,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,283,91.3,25838,2584,9084,3298,8
104,23991,0,20250524,7555,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,194,91.3,17712,1771,6227,5473,3
104,23991,0,20250509,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,340,91.3,31042,3104,10914,872,2
104,23991,0,20250513,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,126.74,91.3,11571,1157,4068,1971,1
104,23991,0,20250513,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,146.26,91.3,13354,1335,4695,1971,1
104,23991,0,20250516,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,278,91.3,25381,2538,8924,2988,8
