得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,0,3017,20250519,2,18511,軽井沢,4410,軽　油　　　　　　　,3,104.2,122.9,12806,26,1,0,3017,1738,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,9461,3345,946,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250519,2,18511,軽井沢,4410,軽　油　　　　　　　,3,106.8,122.9,13126,26,1,0,3017,1738,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,9698,3428,970,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250520,2,11659,加　須,4410,軽　油　　　　　　　,3,107,122.9,13150,14363,1,7295,3017,2152,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,9715,3435,972,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250522,2,18511,軽井沢,4410,軽　油　　　　　　　,3,132,122.9,16223,450,1,0,3017,1713,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,11986,4237,1199,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250522,2,18511,軽井沢,4410,軽　油　　　　　　　,3,74,122.9,9095,450,1,0,3017,1713,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,6720,2375,672,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250523,2,11659,加　須,4410,軽　油　　　　　　　,3,118,122.9,14502,15587,1,7692,3017,2206,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,10714,3788,1071,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250525,2,11659,加　須,4410,軽　油　　　　　　　,3,209,122.9,25686,16704,1,7295,3017,2203,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,18977,6709,1898,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250526,2,18511,軽井沢,4410,軽　油　　　　　　　,3,75,122.9,9218,1122,1,0,3017,1739,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,6810,2408,681,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250526,2,18511,軽井沢,4410,軽　油　　　　　　　,3,135,122.9,16592,1122,1,0,3017,1739,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,12258,4334,1226,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250527,2,11659,加　須,4410,軽　油　　　　　　　,3,122,122.9,14994,17457,1,7295,3017,2157,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,11078,3916,1108,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
